Market-Week-Year,Uniqueness Score
Hoshangabad-2023-W17,0.11351232935205162
Pipariya-2024-W22,0.1134705407342331
Hoshangabad-2022-W1,0.11339635220230992
Chaurai-2023-W8,0.11335473919895539
Babai-2022-W38,0.11334716062158619
Itarsi-2020-W12,0.11323936978230632
Banapura-2020-W37,0.11305810480198482
Bankhedi-2022-W42,0.11295216228354713
Hoshangabad-2023-W12,0.11294249396846828
Itarsi-2022-W4,0.11292414453817685
Pipariya-2022-W31,0.11291989982994954
Semriharchand-2022-W21,0.1127576056473951
Saunsar-2019-W11,0.1127077750996587
Babai-2023-W29,0.1127026932048767
Pipariya-2020-W45,0.11267178888247019
Amarwda-2022-W20,0.11266166622295307
Bankhedi-2022-W43,0.11255053564780512
Chhindwara-2021-W29,0.11248098209585748
Bankhedi-2021-W35,0.11242973541229631
Pipariya-2025-W7,0.11240723070995337
Bankhedi-2024-W21,0.1122771332765361
Babai-2021-W6,0.11222757339718198
Hoshangabad-2021-W18,0.11200682078399082
Semriharchand-2024-W50,0.11199518782278618
Pandhurna-2023-W13,0.11192563191403743
Chhindwara-2022-W31,0.11192379764251639
Chhindwara-2021-W5,0.11190782826848837
Banapura-2022-W29,0.11190195387153312
Hoshangabad-2020-W5,0.11186821871620575
Pipariya-2021-W3,0.11186755631262875
Babai-2020-W38,0.11185530509217789
Babai-2023-W49,0.11174779392100076
Hoshangabad-2021-W32,0.11173943835284557
Chhindwara-2019-W15,0.11173145382847352
Chaurai-2021-W51,0.111724011826887
Semriharchand-2020-W28,0.11164446618826133
Banapura(F&V)-2024-W49,0.11162545835884427
Amarwda-2024-W13,0.11152953460630154
Bankhedi-2020-W7,0.11150428598953709
Itarsi-2020-W22,0.11143555476862879
Chaurai-2019-W27,0.11137864547883482
Amarwda-2020-W21,0.11136649818988523
Chaurai-2022-W9,0.11133844427229624
Babai-2023-W7,0.11126700910840574
Hoshangabad-2021-W3,0.1111796370473759
Hoshangabad-2024-W28,0.11116683644556034
Semriharchand-2024-W28,0.11116211275207245
Chaurai-2022-W48,0.11113727291326356
Chhindwara-2023-W32,0.11112968754490488
Chaurai-2019-W33,0.11112444393247475
Itarsi-2022-W42,0.11108665567867146
Pipariya-2022-W43,0.1110314305987385
Itarsi-2023-W4,0.11099241824641747
Banapura-2022-W48,0.11086650874202696
Hoshangabad-2023-W45,0.11077782626567359
Amarwda-2021-W37,0.11071816361977684
Bankhedi-2021-W37,0.11069524640250566
Hoshangabad-2024-W37,0.11065014961728481
Chhindwara-2020-W2,0.11063429352045137
Saunsar-2021-W46,0.11050083814625407
Saunsar-2019-W13,0.11047632994249294
Itarsi-2022-W22,0.11037214614776808
Bankhedi-2021-W14,0.11032469028499095
Pandhurna-2022-W37,0.11032188012924182
Banapura-2024-W9,0.11030701561663461
Chhindwara-2025-W1,0.11026652514872862
Chhindwara-2019-W7,0.1102616737473758
Bankhedi-2023-W31,0.11022870919683354
Babai-2023-W6,0.11012745655368307
Saunsar-2022-W37,0.11012051576845992
Semriharchand-2020-W37,0.11011408404477982
Bankhedi-2022-W47,0.11004214957890177
Babai-2023-W9,0.11001965668192132
Babai-2022-W25,0.10997957123605395
Pipariya-2025-W4,0.10994608264782077
Chaurai-2020-W24,0.10991691304589986
Pipariya-2021-W38,0.10991197798245096
Amarwda-2023-W31,0.10977457667920525
Amarwda-2023-W21,0.109763057503118
Hoshangabad-2023-W47,0.10969702917435037
Amarwda-2023-W23,0.10968534766213953
Bankhedi-2020-W26,0.10964124924763514
Amarwda-2022-W28,0.10958390213104938
Itarsi-2021-W41,0.1095255644074405
Pandhurna-2019-W35,0.10947400932399168
Itarsi-2020-W39,0.10943692169832153
Semriharchand-2023-W18,0.10943078006667305
Itarsi-2023-W9,0.10942912275340272
Itarsi-2023-W27,0.10940582440947971
